17/04/2024 05:23:22 AM : root         : INFO     :  ******** Visitor_Search (Order - 7) Begin ********
17/04/2024 05:23:22 AM : root         : INFO     : ********** Test_1 Begin  **********
17/04/2024 05:23:29 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 05:23:29 AM : root         : INFO     : url is not open
17/04/2024 05:23:29 AM : root         : INFO     : opening localhost portal login
17/04/2024 05:23:29 AM : root         : INFO     : logging in to core
17/04/2024 05:23:29 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:23:30 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:23:32 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:23:33 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:23:35 AM : root         : INFO     : ******* Login with operator user success *********
17/04/2024 05:23:37 AM : root         : INFO     : going to visitor search...
17/04/2024 05:23:37 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:23:37 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:23:39 AM : root         : INFO     : waiting for search panel to appear...
17/04/2024 05:23:39 AM : root         : INFO     : Strategy: from
17/04/2024 05:23:39 AM : root         : INFO     : select from date checkbox
17/04/2024 05:23:40 AM : root         : INFO     : select date time
17/04/2024 05:23:40 AM : root         : INFO     : datetime clicked
17/04/2024 05:23:41 AM : root         : INFO     : selecting time
17/04/2024 05:23:41 AM : root         : INFO     : select time 
17/04/2024 05:23:45 AM : root         : INFO     : select in from hours and min
17/04/2024 05:23:46 AM : root         : INFO     : From start date
17/04/2024 05:23:48 AM : root         : INFO     : Strategy: to
17/04/2024 05:23:51 AM : root         : INFO     : selecting time
17/04/2024 05:23:51 AM : root         : INFO     : select time 
17/04/2024 05:23:55 AM : root         : INFO     : select in to hours and min
17/04/2024 05:23:55 AM : root         : INFO     : To End Date
17/04/2024 05:23:59 AM : root         : INFO     : edge name: sceedge6-vm
17/04/2024 05:24:00 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:24:00 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:24:01 AM : root         : INFO     : SCEEDGE6-VM
17/04/2024 05:24:01 AM : root         : INFO     : sceedge6-vm
17/04/2024 05:24:02 AM : root         : INFO     : waiting for message to appear...
17/04/2024 05:24:02 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:24:02 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:24:02 AM : root         : INFO     : clicked on submit search button..
17/04/2024 05:24:04 AM : root         : INFO     : Verifying matches
17/04/2024 05:24:06 AM : root         : INFO     : entered explicit wait for 60
17/04/2024 05:24:06 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:24:06 AM : root         : INFO     : ****************** VISITOR SEARCH COMPLETE banner displayed...
17/04/2024 05:24:08 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 05:24:08 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:24:08 AM : root         : INFO     : no match text displayed: True
17/04/2024 05:24:08 AM : root         : INFO     : ele2: No Matches Found - SO FAR
17/04/2024 05:24:08 AM : root         : INFO     : Returned: True
17/04/2024 05:24:08 AM : root         : INFO     : start date: 12/04/202412:00PM
17/04/2024 05:24:08 AM : root         : INFO     : end date: 12/04/202412:30PM
17/04/2024 05:24:09 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:24:09 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:24:09 AM : root         : INFO     : No Match Found txt: No Matches Found - SO FAR, id visible: True
17/04/2024 05:24:09 AM : root         : INFO     : expected exp_asser: APR 12, 2024 , in : SEARCH CONSTRAINTS:
START DATE: APR 16, 2024 11:00 PM END DATE: APR 17, 2024 5:00 PM ORG/HIERARCHY: SCEEDGE6-VM
17/04/2024 05:24:09 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:24:09 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:24:09 AM : root         : INFO     : zone data: SCEEDGE6-VM
17/04/2024 05:24:09 AM : root         : INFO     : ac zone: SEARCH CONSTRAINTS:
START DATE: APR 16, 2024 11:00 PM END DATE: APR 17, 2024 5:00 PM ORG/HIERARCHY: SCEEDGE6-VM
17/04/2024 05:24:09 AM : root         : ERROR    : screenshot file path: C:\Users\FFAzureAdmin\Desktop\FF_Smoke_Test\Reports\Screenshots\TC_VS_1_exception.png
17/04/2024 05:24:09 AM : root         : ERROR    : TC_VS_1 got exception as: ("'Visitor_Search_Module_pom' object has no attribute 'click_on_logout_button'",)
17/04/2024 05:24:09 AM : root         : INFO     : test_TC_VS_01 execution failed..
17/04/2024 05:24:10 AM : root         : INFO     : ********** Test_VS_02 Begin  **********
17/04/2024 05:24:11 AM : root         : INFO     : page url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 05:24:11 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 05:24:11 AM : root         : INFO     : url is not open
17/04/2024 05:24:11 AM : root         : INFO     : opening localhost portal login
17/04/2024 05:24:11 AM : root         : INFO     : logging in to core
17/04/2024 05:24:11 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:24:21 AM : root         : INFO     : element not found: //div/input[@id="login-username"]
17/04/2024 05:24:22 AM : root         : INFO     : exception: ()
17/04/2024 05:24:23 AM : root         : INFO     : going to visitor search...
17/04/2024 05:24:23 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:24:23 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:24:25 AM : root         : INFO     : waiting for search panel to appear...
17/04/2024 05:24:25 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:24:25 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:24:28 AM : root         : INFO     : waiting for message to appear...
17/04/2024 05:24:28 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 05:24:28 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:24:28 AM : root         : INFO     : clicked on submit search button..
17/04/2024 05:24:30 AM : root         : INFO     : Verifying matches
17/04/2024 05:24:32 AM : root         : INFO     : entered explicit wait for 60
17/04/2024 05:24:32 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:24:32 AM : root         : INFO     : ****************** VISITOR SEARCH COMPLETE banner displayed...
17/04/2024 05:24:34 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 05:24:40 AM : root         : INFO     : element not found: //div[@ng-show="searchHasNoMatches"]
17/04/2024 05:24:43 AM : root         : INFO     : entered explicit wait for 15
17/04/2024 05:24:43 AM : root         : INFO     : exiting explicit wait..
17/04/2024 05:24:43 AM : root         : INFO     : count of matches: 5
