22/04/2024 12:53:35 PM : root         : INFO     :  ******** Notifier (Order - 17) Begin ********
22/04/2024 12:53:35 PM : root         : INFO     : *********** TC_Notifier_022 started **********
22/04/2024 12:53:43 PM : root         : INFO     : current url: https://scecore5-vm.qa.facefirst.dev/
22/04/2024 12:53:43 PM : root         : INFO     : url is not open
22/04/2024 12:53:43 PM : root         : INFO     : opening localhost portal login
22/04/2024 12:53:43 PM : root         : INFO     : logging in to core
22/04/2024 12:53:43 PM : root         : INFO     : entered explicit wait for 10
22/04/2024 12:53:44 PM : root         : INFO     : exiting explicit wait..
22/04/2024 12:53:46 PM : root         : INFO     : entered explicit wait for 10
22/04/2024 12:53:47 PM : root         : INFO     : exiting explicit wait..
22/04/2024 12:53:49 PM : root         : INFO     : login success..
22/04/2024 12:53:54 PM : root         : INFO     : entered explicit wait for 10
22/04/2024 12:53:54 PM : root         : INFO     : exiting explicit wait..
22/04/2024 12:53:55 PM : root         : INFO     : Clicked on Org/Hierarchy Selection button...
22/04/2024 12:53:57 PM : root         : INFO     : Click on 'Select all' button...
22/04/2024 12:53:57 PM : root         : INFO     : All regions are selected...
22/04/2024 12:53:58 PM : root         : INFO     : Clicked on 'Unselect all' button...
22/04/2024 12:53:58 PM : root         : INFO     : All regions are unselected...
22/04/2024 12:53:58 PM : root         : INFO     : status: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
