17/04/2024 09:42:17 AM : root         : INFO     :  ******** Visitor_Search (Order - 7) Begin ********
17/04/2024 09:42:17 AM : root         : INFO     : ********** Test_1 Begin  **********
17/04/2024 09:42:24 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 09:42:24 AM : root         : INFO     : url is not open
17/04/2024 09:42:24 AM : root         : INFO     : opening localhost portal login
17/04/2024 09:42:24 AM : root         : INFO     : logging in to core
17/04/2024 09:42:24 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:42:24 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:42:27 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:42:27 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:42:29 AM : root         : INFO     : ******* Login with operator user success *********
17/04/2024 09:42:31 AM : root         : INFO     : going to visitor search...
17/04/2024 09:42:31 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:42:31 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:42:33 AM : root         : INFO     : waiting for search panel to appear...
17/04/2024 09:42:33 AM : root         : INFO     : Strategy: from
17/04/2024 09:42:33 AM : root         : INFO     : select from date checkbox
17/04/2024 09:42:34 AM : root         : INFO     : select date time
17/04/2024 09:42:35 AM : root         : INFO     : datetime clicked
17/04/2024 09:42:36 AM : root         : INFO     : selecting time
17/04/2024 09:42:36 AM : root         : INFO     : select time 
17/04/2024 09:42:40 AM : root         : INFO     : select in from hours and min
17/04/2024 09:42:41 AM : root         : INFO     : From start date
17/04/2024 09:42:43 AM : root         : INFO     : Strategy: to
17/04/2024 09:42:45 AM : root         : INFO     : selecting time
17/04/2024 09:42:45 AM : root         : INFO     : select time 
17/04/2024 09:42:49 AM : root         : INFO     : select in to hours and min
17/04/2024 09:42:50 AM : root         : INFO     : To End Date
17/04/2024 09:42:54 AM : root         : INFO     : edge name: sceedge6-vm
17/04/2024 09:42:55 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:42:55 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:42:56 AM : root         : INFO     : SCEEDGE6-VM
17/04/2024 09:42:56 AM : root         : INFO     : sceedge6-vm
17/04/2024 09:42:56 AM : root         : INFO     : waiting for message to appear...
17/04/2024 09:42:56 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:42:56 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:42:56 AM : root         : INFO     : clicked on submit search button..
17/04/2024 09:42:58 AM : root         : INFO     : Verifying matches
17/04/2024 09:43:00 AM : root         : INFO     : entered explicit wait for 60
17/04/2024 09:43:00 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:43:00 AM : root         : INFO     : ****************** VISITOR SEARCH COMPLETE banner displayed...
17/04/2024 09:43:02 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 09:43:02 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:43:02 AM : root         : INFO     : no match text displayed: True
17/04/2024 09:43:02 AM : root         : INFO     : ele2: No Matches Found - SO FAR
17/04/2024 09:43:02 AM : root         : INFO     : Returned: True
17/04/2024 09:43:02 AM : root         : INFO     : start date: 12/04/202412:00PM
17/04/2024 09:43:02 AM : root         : INFO     : end date: 12/04/202412:30PM
17/04/2024 09:43:03 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:43:03 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:43:04 AM : root         : INFO     : No Match Found txt: No Matches Found - SO FAR, id visible: True
17/04/2024 09:43:04 AM : root         : INFO     : expected exp_asser: APR 12, 2024 , in : SEARCH CONSTRAINTS:
START DATE: APR 16, 2024 11:00 PM END DATE: APR 17, 2024 3:00 PM ORG/HIERARCHY: SCEEDGE6-VM
17/04/2024 09:43:04 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:43:04 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:43:04 AM : root         : INFO     : zone data: SCEEDGE6-VM
17/04/2024 09:43:04 AM : root         : INFO     : ac zone: SEARCH CONSTRAINTS:
START DATE: APR 16, 2024 11:00 PM END DATE: APR 17, 2024 3:00 PM ORG/HIERARCHY: SCEEDGE6-VM
17/04/2024 09:43:05 AM : root         : INFO     : operator User logged out from cloud menu..
17/04/2024 09:43:06 AM : root         : INFO     : status: [True]
17/04/2024 09:43:06 AM : root         : INFO     : ********** Test_VS_02 Begin  **********
17/04/2024 09:43:07 AM : root         : INFO     : page url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 09:43:07 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 09:43:07 AM : root         : INFO     : url is not open
17/04/2024 09:43:07 AM : root         : INFO     : opening localhost portal login
17/04/2024 09:43:07 AM : root         : INFO     : logging in to core
17/04/2024 09:43:07 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:43:07 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:43:09 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:43:10 AM : root         : INFO     : exiting explicit wait..
