29/04/2024 09:22:48 AM : root         : INFO     :  ******** Tags_Module (Order - 7) Begin ********
29/04/2024 09:22:48 AM : root         : INFO     : test_TC_TAG_01 execution started..
29/04/2024 09:22:48 AM : root         : INFO     : ************* test_TC_TAG_01 ***************
29/04/2024 09:22:54 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
29/04/2024 09:22:54 AM : root         : INFO     : url is not open
29/04/2024 09:22:54 AM : root         : INFO     : opening localhost portal login
29/04/2024 09:22:54 AM : root         : INFO     : logging in to core
29/04/2024 09:22:54 AM : root         : INFO     : entered explicit wait for 10
29/04/2024 09:22:54 AM : root         : INFO     : exiting explicit wait..
29/04/2024 09:22:56 AM : root         : INFO     : entered explicit wait for 10
29/04/2024 09:22:57 AM : root         : INFO     : exiting explicit wait..
29/04/2024 09:22:59 AM : root         : INFO     : login success..
29/04/2024 09:23:02 AM : root         : INFO     : entered explicit wait for 10
29/04/2024 09:23:02 AM : root         : INFO     : exiting explicit wait..
29/04/2024 09:23:02 AM : root         : INFO     : create_tags_for_serious_event:  'NoneType' object has no attribute 'split'
29/04/2024 09:23:02 AM : root         : INFO     : test_TC_TAG_01 fail
